 Способ размещения заказа; Наименование заказа; Начальная (максимальная) цена контракта (лота); Организация, размещающая заказ; Этап размещения заказа; Дата начала подачи заявок; Дата окончания подачи заявок
 Открытый конкурс; Второй открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения Чемпионата мира по легкой атлетике 2013 года; 23 945 315,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Второй открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения Чемпионата мира по легкой атлетике 2013 года; 30 634 187,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Второй открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения Чемпионата мира по легкой атлетике 2013 года; 17 916 000,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Второй открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения Чемпионата мира по легкой атлетике 2013 года; 1 212 000,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Второй открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения Чемпионата мира по легкой атлетике 2013 года; 11 424 000,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Второй открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения Чемпионата мира по легкой атлетике 2013 года; 2 810 000,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Второй открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения Чемпионата мира по легкой атлетике 2013 года; 4 267 600,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Второй открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения Чемпионата мира по легкой атлетике 2013 года; 12 168 000,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Второй открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения Чемпионата мира по легкой атлетике 2013 года; 6 617 000,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Второй открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения Чемпионата мира по легкой атлетике 2013 года; 379 666,67;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Второй открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения Чемпионата мира по легкой атлетике 2013 года; 6 000 000,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Второй открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения Чемпионата мира по легкой атлетике 2013 года; 5 755 814,62;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Второй открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения Чемпионата мира по легкой атлетике 2013 года; 7 500 000,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Второй открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения Чемпионата мира по легкой атлетике 2013 года; 2 836 801,67;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Второй открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения Чемпионата мира по легкой атлетике 2013 года; 7 700 000,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Второй открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения Чемпионата мира по легкой атлетике 2013 года; 11 554 512,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Второй открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения Чемпионата мира по легкой атлетике 2013 года; 1 177 000,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Запрос котировок; зимнее содержание дорог; 51 434,00; Администрация сельского поселения Кичменгское; Подача заявок; 11.01.2013; 17.01.2013
 Открытый конкурс; Право заключения договора на выполнение проектно-изыскательских работ на ремонт с заменой деформационных швов на инженерных сооружениях г. Москвы: путепровод Подольский у МКАД. путепровод Новокаширский МКАД. путепровод Серпуховский МКАД. путепровод Бутово МКАД. путепровод Севастопольский среди субъектов малого предпринимательства (СМП); 1 624 629,05;" Государственное бюджетное учреждение города Москвы по эксплуатации и ремонту инженерных сооружений ""Гормост"""; Подача заявок; 18.01.2013; 26.02.2013
 Открытый конкурс; Открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения международных соревнований по фехтованию «Московская сабля» среди мужчин (этап Кубка мира) и женщин (Гран-При); 1 250 000,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения международных соревнований по фехтованию «Московская сабля» среди мужчин (этап Кубка мира) и женщин (Гран-При); 200 000,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения международных соревнований по фехтованию «Московская сабля» среди мужчин (этап Кубка мира) и женщин (Гран-При); 2 096 700,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения международных соревнований по фехтованию «Московская сабля» среди мужчин (этап Кубка мира) и женщин (Гран-При); 315 000,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения международных соревнований по фехтованию «Московская сабля» среди мужчин (этап Кубка мира) и женщин (Гран-При); 195 000,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения международных соревнований по фехтованию «Московская сабля» среди мужчин (этап Кубка мира) и женщин (Гран-При); 360 254,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения международных соревнований по фехтованию «Московская сабля» среди мужчин (этап Кубка мира) и женщин (Гран-При); 1 338 473,79;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения международных соревнований по фехтованию «Московская сабля» среди мужчин (этап Кубка мира) и женщин (Гран-При); 4 720 000,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения международных соревнований по фехтованию «Московская сабля» среди мужчин (этап Кубка мира) и женщин (Гран-При); 346 290,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения международных соревнований по фехтованию «Московская сабля» среди мужчин (этап Кубка мира) и женщин (Гран-При); 1 174 100,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения международных соревнований по фехтованию «Московская сабля» среди мужчин (этап Кубка мира) и женщин (Гран-При); 730 000,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения международных соревнований по фехтованию «Московская сабля» среди мужчин (этап Кубка мира) и женщин (Гран-При); 93 220,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения международных соревнований по фехтованию «Московская сабля» среди мужчин (этап Кубка мира) и женщин (Гран-При); 657 300,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения международных соревнований по фехтованию «Московская сабля» среди мужчин (этап Кубка мира) и женщин (Гран-При); 651 300,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения международных соревнований по фехтованию «Московская сабля» среди мужчин (этап Кубка мира) и женщин (Гран-При); 600 000,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения международных соревнований по фехтованию «Московская сабля» среди мужчин (этап Кубка мира) и женщин (Гран-При); 239 400,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения международных соревнований по фехтованию «Московская сабля» среди мужчин (этап Кубка мира) и женщин (Гран-При); 1 204 410,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения международных соревнований по фехтованию «Московская сабля» среди мужчин (этап Кубка мира) и женщин (Гран-При); 1 201 168,33;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения международных соревнований по фехтованию «Московская сабля» среди мужчин (этап Кубка мира) и женщин (Гран-При); 1 258 000,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения международных соревнований по фехтованию «Московская сабля» среди мужчин (этап Кубка мира) и женщин (Гран-При); 220 314,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс; Открытый конкурс на право заключения договоров на поставку товаров, выполнение работ и оказание услуг для подготовки и проведения международных соревнований по фехтованию «Московская сабля» среди мужчин (этап Кубка мира) и женщин (Гран-При); 286 740,00;" Государственное бюджетное учреждение города Москвы ""Дирекция спортивных и зрелищных мероприятий"" Департамента физической культуры и спорта города Москвы"; Подача заявок; 18.01.2013; 20.02.2013
 Открытый конкурс;" Открытый конкурс на право заключения договора на оказание услуг по аудиту годовой бухгалтерской (финансовой) отчетности ОАО ""Книжный Дом ""Родина"" за 2012 год "; 75 600,00;" Открытое акционерное общество ""Книжный дом ""Родина"""; Подача заявок; 19.12.2012; 23.01.2013
 Открытый конкурс; Право заключения договора на выполнение проектно-изыскательских работ на ремонт с заменой конструкций деформационных швов на инженерных сооружениях г. Москвы: путепровод Рижская ж.д. МКАД. путепровод Сколковский МКАД. путепровод Левобережный МКАД. путепровод Мякинино-Строгино МКАД среди субъектов малого предпринимательства (СМП) ; 1 397 887,47;" Государственное бюджетное учреждение города Москвы по эксплуатации и ремонту инженерных сооружений ""Гормост"""; Подача заявок; 18.01.2013; 20.02.2013
 Открытый аукцион в электронной форме; поставка с доставкой продуктов питания; 238 349,40;" государственное бюджетное образовательное учреждение среднего профессионального образования Ростовской области ""Шахтинский региональный колледж топлива и энергетики им. ак. Степанова П.И."""; Подача заявок; 18.01.2013; 25.01.2013
 Открытый аукцион в электронной форме; Поставка лекарственных препаратов, влияющих на центральную нервную систему; 867 542,00;" бюджетное учреждение здравоохранения Омской области ""Клиническая психиатрическая больница имени Н.Н. Солодникова"""; Подача заявок; 18.01.2013; 26.01.2013
 Открытый аукцион в электронной форме;" Поставка лекарственных препаратов (гормонов и антигормонов для лечения опухолей) до граждан, имеющих право на получение государственной социальной помощи в виде набора социальных услуг в соответствии со ст. 6.2 Федерального закона от 17.07.1999 № 178-ФЗ ""О государственной социальной помощи"""; 892 740,22; комитет государственного заказа Тульской области; Подача заявок; 18.01.2013; 29.01.2013
 Открытый аукцион в электронной форме; Поставка ГСМ с использованием пластиковых карт для нужд для нужд Ершовской транспортной прокуратуры,  входящей в состав Южной транспортной прокуратуры; 12 432,00; Южная транспортная прокуратура; Подача заявок; 18.01.2013; 30.01.2013
 Открытый конкурс; Право заключения договора на выполнение проектно-изыскательских работ на ремонт с заменой конструкций деформационных швов на инженерных сооружениях г. Москвы: путепровод Хованский. путепровод Алтуфьевский-3. путепровод Осташковский шоссе 1 км.. мост Низкий среди субъектов малого предпринимательства (СМП); 1 438 646,61;" Государственное бюджетное учреждение города Москвы по эксплуатации и ремонту инженерных сооружений ""Гормост"""; Подача заявок; 18.01.2013; 21.02.2013
 Открытый аукцион в электронной форме;" Поставка лекарственных препаратов (препаратов для профилактики и лечения инфекционных заболеваний) до граждан, имеющих право на получение государственной социальной помощи в виде набора социальных услуг в соответствии со ст. 6.2 Федерального закона от 17.07.1999 № 178-ФЗ ""О государственной социальной помощи"". "; 695 544,36; комитет государственного заказа Тульской области; Подача заявок; 18.01.2013; 29.01.2013
 Запрос котировок; зимнее содержание дорог; 142 969,00; Администрация сельского поселения Кичменгское; Подача заявок; 11.01.2013; 17.01.2013
 Открытый конкурс; Право заключения договора на выполнение проектно-изыскательских работ на ремонт с заменой конструкций деформационных швов на инженерных сооружениях г. Москвы: мост Костомаровский. мост Чугунный. Эстакада Русаковская ТТК. путепровод Вещнякоский. мост Новосвибловский. мост Клязьминский. путепровод Михалковский среди субъектов малого предпринимательства (СМП).; 2 543 507,57;" Государственное бюджетное учреждение города Москвы по эксплуатации и ремонту инженерных сооружений ""Гормост"""; Подача заявок; 18.01.2013; 20.02.2013
 Открытый аукцион в электронной форме;" Поставка лекарственного препарата (Октреотид) до граждан, имеющих право на получение государственной социальной помощи в виде набора социальных услуг в соответствии со ст. 6.2 Федерального закона от 17.07.1999 № 178-ФЗ ""О государственной социальной помощи"""; 253 730,84; комитет государственного заказа Тульской области; Подача заявок; 18.01.2013; 29.01.2013
 Открытый аукцион в электронной форме; Поставка ГСМ с использованием пластиковых карт для нужд Туапсинской транспортной прокуратуры, входящей в состав  Южной транспортной прокуратуры; 16 280,00; Южная транспортная прокуратура; Подача заявок; 18.01.2013; 30.01.2013
 Открытый аукцион в электронной форме;" Поставка лекарственных препаратов (препаратов, влияющих на кроветворение, систему свертывания) до граждан, имеющих право на получение государственной социальной помощи в виде набора социальных услуг в соответствии со ст. 6.2 Федерального закона от 17.07.1999 № 178-ФЗ ""О государственной социальной помощи"""; 1 775 927,57; комитет государственного заказа Тульской области; Подача заявок; 18.01.2013; 29.01.2013
 Открытый аукцион в электронной форме; Поставка спазмолитических лекарственных препаратов, ненаркотических анальгетиков и НПВС; 182 555,50;" бюджетное учреждение здравоохранения Омской области ""Клиническая психиатрическая больница имени Н.Н. Солодникова"""; Подача заявок; 18.01.2013; 26.01.2013
 Запрос котировок;" Поставка нефтепродуктов (АИ-92) для нужд ОБУЗ ""Горшеченская ЦРБ"" "; 499 895,00;" Областное бюджетное учреждение здравоохранения ""Горшеченская центральная районная больница"" комитета здравоохранения Курской области"; Подача заявок; 21.01.2013; 30.01.2013
 Открытый аукцион в электронной форме; Открытый аукцион в электронной форме на право заключения контракта на выполнение работ по капитальному ремонту спортивных площадок по адресам: ул. 3-я Владимирская, д. 9, к. 4. ул. Новогиреевская, д. 29, к. 1 для заказчика ГКУ «ИС района Перово» в 2013 году; 2 869 036,27;" Государственное казенное учреждение города Москвы ""Инженерная служба района Перово"""; Подача заявок; 18.01.2013; 30.01.2013
 Открытый аукцион в электронной форме; Поставка ГСМ с использованием пластиковых карт для нужд Махачкалинской транспортной прокуратуры, входящей в состав Южной транспортной прокуратуры; 8 880,00; Южная транспортная прокуратура; Подача заявок; 18.01.2013; 30.01.2013
 Открытый аукцион в электронной форме; Оказание услуг по подготовке к проведению ХVII спартакиады среди сотрудников администраций муниципальных образований Свердловской области в 2013 году; 941 800,00;" государственное бюджетное учреждение Свердловской области ""Центр по организации и проведению физкультурных и спортивных мероприятий"""; Подача заявок; 18.01.2013; 25.01.2013
 Запрос котировок; зимнее содержание дорог; 153 430,00; Администрация сельского поселения Кичменгское; Подача заявок; 14.01.2013; 17.01.2013
 Открытый аукцион в электронной форме; поставка с доставкой продуктов питания; 93 150,00;" государственное бюджетное образовательное учреждение среднего профессионального образования Ростовской области ""Шахтинский региональный колледж топлива и энергетики им. ак. Степанова П.И."""; Подача заявок; 18.01.2013; 25.01.2013
 Открытый аукцион в электронной форме;" Поставка лекарственных препаратов инсулинов до граждан, имеющих право на получение государственной социальной помощи в виде набора социальных услуг в соответствии со ст. 6.2 Федерального закона от 17.07.1999 № 178-ФЗ ""О государственной социальной помощи"""; 1 324 333,78; комитет государственного заказа Тульской области; Подача заявок; 18.01.2013; 29.01.2013
 Открытый конкурс; Приобретение квартиры для малоимущих; 1 600 000,00; Администрация Качканарского городского округа; Подача заявок; 18.01.2013; 18.02.2013
 Открытый конкурс; Приобретение квартиры для малоимущих; 990 000,00; Администрация Качканарского городского округа; Подача заявок; 18.01.2013; 18.02.2013
 Запрос котировок; обеспечение авиационными горюче-смазочными материалами; 125 193,30; Первый отдельный авиационный отряд Федеральной службы безопасности Российской Федерации; Подача заявок; 14.01.2013; 17.01.2013
 Запрос котировок; поставка рыбы для  МБДОУ г. Астрахани № 108 в 1 квартале 2013 года ; 81 733,84;" муниципальное бюджетное дошкольное образовательное учреждение г. Астрахани ""Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по художественно-эстетическому развитию детей № 108 ""Ивушка"""; Подача заявок; 21.01.2013; 24.01.2013
