Реестровый номер заказа; Способ размещения заказа; Наименование заказа; Номер лота; Наименование лота; Начальная (максимальная) цена контракта (лота); Код валюты; Классификация по ОКДП; Организация, размещающая заказ; Дата публикации; Дата последнего события; Этап размещения заказа; Особенности размещения заказа; Дата начала подачи заявок; Дата окончания подачи заявок
'0145200000413000238'; Открытый конкурс;  Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №24; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием в  г. Сланцы Ленинградской области ; 274 596,00; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 08.04.2013
'0145200000413000238'; Открытый конкурс;  Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №25; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием с экологической направленностью  в  г. Сланцы Ленинградской области ; 54 919,20; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 08.04.2013
'0145200000413000237'; Открытый конкурс; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №1; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием с патриотической направленностью в г.Сосновый Бор Ленинградской области ; 219 676,80; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 15.04.2013
'0145200000413000237'; Открытый конкурс; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №2; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием с нравственно-эстетической направленностью в г.Сосновый Бор Ленинградской области ; 219 676,80; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 15.04.2013
'0145200000413000237'; Открытый конкурс; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №3; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием в г.Сосновый Бор Ленинградской области ; 219 676,80; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 15.04.2013
'0145200000413000237'; Открытый конкурс; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №4; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием со спортивной направленностью в г.Сосновый Бор Ленинградской области ; 439 353,60; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 15.04.2013
'0145200000413000237'; Открытый конкурс; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №5; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием с профильной нравственно-эстетической сменой, в г.Тихвин Ленинградской области ; 175 741,44; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 15.04.2013
'0145200000413000237'; Открытый конкурс; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №6; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием с профильной творческой сменой в г.Тихвин Ленинградской области ; 175 741,44; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 15.04.2013
'0145200000413000237'; Открытый конкурс; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №7; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием с профильной сменой «Краеведение» в г.Тихвин Ленинградской области ; 175 741,44; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 15.04.2013
'0145200000413000237'; Открытый конкурс; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №8; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием с профильной валеологической сменой в г. Тихвин Ленинградской области ; 175 741,44; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 15.04.2013
'0145200000413000237'; Открытый конкурс; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №9; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием с профильной спортивной сменой в г.Тихвин Ленинградской области ; 175 741,44; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 15.04.2013
'0145200000413000237'; Открытый конкурс; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №10; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием в г.Тихвин Ленинградской области ; 175 741,44; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 15.04.2013
'0145200000413000237'; Открытый конкурс; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №11; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием с профильной естественно- научной сменой в г.Тихвин Ленинградской области ; 175 741,44; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 15.04.2013
'0145200000413000237'; Открытый конкурс; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №12; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием с патриотической направленностью в г. Тихвин Ленинградской области ; 175 741,44; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 15.04.2013
'0145200000413000237'; Открытый конкурс; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №13; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием в п. Шугозеро Тихвинского района ; 159 265,68; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 15.04.2013
'0145200000413000237'; Открытый конкурс; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №14; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием в д. Мелегежская Горка Тихвинского района ; 93 362,64; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 15.04.2013
'0145200000413000237'; Открытый конкурс; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №15; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием в д. Ганьково Тихвинского района ; 43 935,36; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 15.04.2013
'0145200000413000237'; Открытый конкурс; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №16; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием в д. Бор Тихвинского района ; 109 838,40; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 15.04.2013
'0145200000413000237'; Открытый конкурс; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №17; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием в д.Цвылево Тихвинского района ; 54 919,20; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 15.04.2013
'0145200000413000237'; Открытый конкурс; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №18; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием в д.Горка Тихвинского района ; 115 330,32; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 15.04.2013
'0145200000413000237'; Открытый конкурс; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №19; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием с трудовой направленностью в г.Тихвин Ленинградской области ; 60 411,12; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 15.04.2013
'0145200000413000237'; Открытый конкурс; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №20; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием с профильной исторической сменой в г.Тихвин Ленинградской области ; 65 903,04; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 15.04.2013
'0145200000413000236'; Открытый конкурс; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №1; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием со спортивной направленностью в г.Тосно Ленинградской области ; 82 378,80; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 11.04.2013
'0145200000413000236'; Открытый конкурс; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №2; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием в г.Тосно Ленинградской области ; 109 838,40; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 11.04.2013
'0145200000413000236'; Открытый конкурс; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №3; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием с профильной патриотической сменой в г.Тосно Ленинградской области ; 54 919,20; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 11.04.2013
'0145200000413000236'; Открытый конкурс; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание).; Лот №4; Оказание услуг  по проведению оздоровительной кампании детей, находящихся в трудной жизненной ситуации (приобретение  путевок для детей в организации отдыха детей и их оздоровления, включающие питание), в 2013 году  в оздоровительном лагере с дневным пребыванием с профильной сменой «Краеведение» в г.Тосно Ленинградской области ; 54 919,20; RUB; 8514000: Услуги санаториев и прочих оздоровительных учреждений; Комитет государственного заказа Ленинградской области; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 11.04.2013
