Дата публикации;Номер извещения;Заказчик;Предмет контракта;Начальная цена;URL извещения;Способ размещения заказа;Дата начала приёма заявок;Дата окончания приёма заявок;Дата проведения аукциона;Адрес заказчика;Телефон заказчика;Электронная почта заказчика;Контактное лицо заказчика;ИНН заказчика;КПП заказчика;ОГРН заказчика;Организатор торгов
07.03.2013;5614023;государственное учреждение - Отделение Пенсионного фонда Российской Федерации по Республике Алтай;Право заключения государственного контракта на выполнение работ по капитальному ремонту административного здания Управления ПФР в Кош-Агачском районе Республики Алтай, находящегося по адресу: 64978о, Республика Алтай,Кош-Агачский район с. Кош-Агач, ул. Советская, д. 4;1 959 400,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5614023;Открытый аукцион в электронной форме;25.03.2013;19.03.2013;;Российская Федерация, 649000, Алтай Респ, Горно-Алтайск г, Коммунистический, 15/1, -;7-38822-23197;004-0804@opfr04.risp.ru;Бочкарёва Евгения Ивановна;;;;государственное учреждение - Отделение Пенсионного фонда Российской Федерации по Республике Алтай
07.03.2013;5614147;Министерство экономического развития и инвестиций Республики Алтай;Оказание услуг по организации лечебного питания для больных, находящихся на стационарном лечении в БУЗ РА «Перинатальный центр» с о1.о4.2о13 до 31.12.2о13;4 516 050,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5614147;Открытый аукцион в электронной форме;27.03.2013;26.03.2013;;Российская Федерация, 649000, Алтай Респ, Горно-Алтайск г, Чаптынова, 24, -;7-38822-29509;778a88@mail.ru;Захарова Алена Юрьевна;;;;Министерство экономического развития и инвестиций Республики Алтай
07.03.2013;5614303;Министерство экономического развития и инвестиций Республики Алтай;Капитальный ремонт коридора 2-го этажа в здании БУЗ РА «Центр по профилактике и борьбе со СПИД и инфекционными заболеваниями»;1 838 687,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5614303;Открытый аукцион в электронной форме;15.03.2013;14.03.2013;;Российская Федерация, 649000, Алтай Респ, Горно-Алтайск г, Чаптынова, 24, -;7-38822-29506;tv_popova@list.ru;Попова Татьяна Васильевна;;;;Министерство экономического развития и инвестиций Республики Алтай
07.03.2013;5615095;"Общество с ограниченной ответственностью ""Сибирский тендерный центр""";Поставка санаторно-курортных путевок для действующих судей районных (городского) судов Республики Алтай;446 000,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5615095;Открытый аукцион в электронной форме;19.03.2013;15.03.2013;;Российская Федерация, 656056, Алтайский край, Барнаул г, улица Пушкина, 38, -;7-3852-289661;sna_sibtender@bk.ru;Сафронова Наталья Александровна;;;;"Общество с ограниченной ответственностью ""Сибирский тендерный центр"""
07.03.2013;5616348;Министерство экономического развития и инвестиций Республики Алтай;Поставка 14 специализированных школьных автобусов для нужд общеобразовательных учреждений Республики Алтай;28 046 666,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5616348;Открытый аукцион в электронной форме;26.03.2013;22.03.2013;;Российская Федерация, 649000, Алтай Респ, Горно-Алтайск г, Чаптынова, 24, -;7-38822-29509;shihov.ramil@mail.ru;Шихов Рамиль Маратович;;;;Министерство экономического развития и инвестиций Республики Алтай
07.03.2013;5617265;Управление Федеральной службы судебных приставов по Республике Алтай;Поставка бензина автомобильного марки АИ-92 через автозаправочные станции для нужд Управления Федеральной службы судебных приставов по Республике Алтай во 2 квартале 2о13 года;500 563,80р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5617265;Открытый аукцион в электронной форме;18.03.2013;15.03.2013;;Российская Федерация, 649000, Алтай Респ, Горно-Алтайск г, Чаптынова, 20, -;7-38822-21446;21-446@mail.ru;Кучеренков Владимир Петрович;;;;Управление Федеральной службы судебных приставов по Республике Алтай
07.03.2013;5619038;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;1 523 250,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5619038;Открытый аукцион в электронной форме;18.03.2013;15.03.2013;;Российская Федерация, 649490, Алтай Респ, Усть-Коксинский р-н, Усть-Кокса с, Заповедная, 1, -;7-38848-22946;KatunskiyGZ@yandex.ru;Затеев Александр Викторович;;;;"Федеральное государственное бюджетное учреждение ""Государственный природный биосферный заповедник ""Катунский"""
07.03.2013;5602657;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;383 760,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5602657;Запрос котировок;19.03.2013;19.03.2013;;Российская Федерация, 649000, Алтай Респ, Горно-Алтайск г, проспект Коммунистический, 18, -;7-38822-22667;muko@mail.gorny.ru;Крутикова Ольга Николаевна;;;;"Муниципальное учреждение ""Управление образования администрации МО города Горно-Алтайска"""
07.03.2013;5602857;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;471 867,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5602857;Запрос котировок;20.03.2013;20.03.2013;;Российская Федерация, 649000, Алтай Респ, Майминский р-н, Майма с, Ленина, 10, -;7-38844-22273;maima11@yandex.ru;Кулигин Олег Алексеевич;;;;"Администрация Муниципального образования ""Майминское сельское поселение"""
07.03.2013;5614528;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;9 880,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5614528;Запрос котировок;15.03.2013;15.03.2013;;Российская Федерация, 649000, Алтай Респ, Горно-Алтайск г, П.Кучияк, 9, -;7-38822-40-312;ofps_ra@mail.ru;Баданова Сурая Борисовна;;;;"федеральное государственное казенное учреждение ""1 отряд федеральной противопожарной службы по Республике Алтай"""
07.03.2013;5615248;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;382 085,63р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5615248;Запрос котировок;20.03.2013;20.03.2013;;Российская Федерация, 649002, Алтай Респ, Горно-Алтайск г, Строителей, 3/1, -;7-38822-64333;ukhgorny-t@mail.ru;Дорофеев Виталий Вениаминович;;;;"Муниципальное учреждение ""Управление коммунального хозяйства администрации города Горно-Алтайска"""
07.03.2013;5617534;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;3 600,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5617534;Запрос котировок;13.03.2013;13.03.2013;;Российская Федерация, 649002, Алтай Респ, Горно-Алтайск г, переулок Промышленный, 6, -;7-38822-64374;uodop02@yandex.ru;Латорцев Юрий Иванович;;;;"отдел федерального казенного учреждения ""Управление по обеспечению деятельности оперативных подразделений Федеральной службы исполнения наказаний"" по Республике Алтай"
07.03.2013;5618616;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;14 958,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5618616;Запрос котировок;15.03.2013;15.03.2013;;Российская Федерация, 649002, Алтай Респ, Горно-Алтайск г, Коммунистический, 115/1, -;7-38822-40338;mchs_ra@mail.ru;Берсенев Алексей Николаевич;;;;Главное управление Министерства Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий по Республике Алтай
01.03.2013;5572026;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;12 000,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5572026;Открытый конкурс;02.04.2013;01.04.2013;;Российская Федерация, 656063, Алтайский край, Барнаул г, улица Попова, 11, -;7-3852-511433;bibkolal@yandex.ru;Черепкова Ольга Васильевна;;;;"открытое акционерное общество ""Библиотечный коллектор"""
01.03.2013;5481093;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;154 340,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5481093;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 656015, Алтайский край, Барнаул г, пр-т Ленина, 59, -;7-3852-352846;budyakovskaya@alregn.ru;Будяковская Марина Васильевна;;;;Главное управление экономики и инвестиций Алтайского края
01.03.2013;5526116;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;240 400,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5526116;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 656015, Алтайский край, Барнаул г, пр-т Ленина, 59, -;7-3852-352846;budyakovskaya@alregn.ru;Будяковская Марина Васильевна;;;;Главное управление экономики и инвестиций Алтайского края
01.03.2013;5547034;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;17 005 413,70р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5547034;Открытый аукцион в электронной форме;26.03.2013;22.03.2013;;Российская Федерация, 656043, Алтайский край, Барнаул г, Короленко, 58, -;7-3852-630566;cmz-teh3@barnaul-adm.ru;Чернобровина Марина Александровна;;;;комитет муниципального заказа города Барнаула
01.03.2013;5560123;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;1 023 445,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5560123;Открытый аукцион в электронной форме;15.03.2013;11.03.2013;;Российская Федерация, 656043, Алтайский край, Барнаул г, Короленко, 58, -;7-3852-630497;cmz-produkt3@barnaul-adm.ru;Воробьева Ольга Владимировна;;;;комитет муниципального заказа города Барнаула
01.03.2013;5564525;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;2 700 000,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5564525;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 656015, Алтайский край, Барнаул г, пр-т Ленина, 59, -;7-3852-358838;korosteleva@alregn.ru;Коростелева Наталья Викторовна;;;;Главное управление экономики и инвестиций Алтайского края
01.03.2013;5564685;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;350 780,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5564685;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 656015, Алтайский край, Барнаул г, пр-т Ленина, 59, -;7-3852-665285;protopopova@alregn.ru;Протопопова Екатерина Михайловна;;;;Главное управление экономики и инвестиций Алтайского края
01.03.2013;5565953;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;343 056,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5565953;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 656015, Алтайский край, Барнаул г, пр-т Ленина, 59, -;7-3852-665285;protopopova@alregn.ru;Протопопова Екатерина Михайловна;;;;Главное управление экономики и инвестиций Алтайского края
01.03.2013;5566480;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;240 207,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5566480;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 656015, Алтайский край, Барнаул г, пр-т Ленина, 59, -;7-3852-665285;protopopova@alregn.ru;Протопопова Екатерина Михайловна;;;;Главное управление экономики и инвестиций Алтайского края
01.03.2013;5569182;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;277 004 699 948,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5569182;Открытый аукцион в электронной форме;15.03.2013;11.03.2013;;Российская Федерация, 656043, Алтайский край, Барнаул г, Короленко, 58, -;7-3852-630042;cmz-stroy3@barnaul-adm.ru;Вяткина Наталья Николаевна;;;;комитет муниципального заказа города Барнаула
01.03.2013;5569204;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;1 589 998,04р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5569204;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 656043, Алтайский край, Барнаул г, Короленко, 58, -;7-3852-630042;cmz-stroy1@barnaul-adm.ru;Кислицына Ирина Дмитриевна;;;;комитет муниципального заказа города Барнаула
01.03.2013;5569304;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;70 460,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5569304;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 658080, Алтайский край, Новоалтайск г, Гагарина, 13, -;7-38532-25776;kanozakaz@mail.ru;Филякова Марина Евгеньевна;;;;комитет по образованию Администрации города Новоалтайска
01.03.2013;5569318;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;389 535,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5569318;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 656015, Алтайский край, Барнаул г, пр-т Ленина, 59, -;7-3852-352846;budyakovskaya@alregn.ru;Будяковская Марина Васильевна;;;;Главное управление экономики и инвестиций Алтайского края
01.03.2013;5569339;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;334 379 334 379 669 000 000 000,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5569339;Открытый аукцион в электронной форме;15.03.2013;11.03.2013;;Российская Федерация, 656043, Алтайский край, Барнаул г, Короленко, 58, -;7-3852-630042;cmz-stroy3@barnaul-adm.ru;Вяткина Наталья Николаевна;;;;комитет муниципального заказа города Барнаула
01.03.2013;5569390;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;462 996,60р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5569390;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 656043, Алтайский край, Барнаул г, Короленко, 58, -;7-3852-630042;cmz-stroy1@barnaul-adm.ru;Кислицына Ирина Дмитриевна;;;;комитет муниципального заказа города Барнаула
01.03.2013;5569433;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;964 998,20р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5569433;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 656043, Алтайский край, Барнаул г, Короленко, 58, -;7-3852-630042;cmz-stroy1@barnaul-adm.ru;Кислицына Ирина Дмитриевна;;;;комитет муниципального заказа города Барнаула
01.03.2013;5569461;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;999 996,69р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5569461;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 656043, Алтайский край, Барнаул г, Короленко, 58, -;7-3852-630042;cmz-stroy1@barnaul-adm.ru;Кислицына Ирина Дмитриевна;;;;комитет муниципального заказа города Барнаула
01.03.2013;5569505;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;133 750,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5569505;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 658080, Алтайский край, Новоалтайск г, Гагарина, 13, -;7-38532-25776;kanozakaz@mail.ru;Филякова Марина Евгеньевна;;;;комитет по образованию Администрации города Новоалтайска
01.03.2013;5569577;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;1 758 703,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5569577;Открытый аукцион в электронной форме;11.03.2013;09.03.2013;;Российская Федерация, 656049, Алтайский край, Барнаул г, Папанинцев, 105, -;7-3852-631595;altay@uprdoraltay.ru;Климов Артем Владимирович;;;;"Федеральное казенное учреждение ""Управление федеральных автомобильных дорог ""Алтай"" Федерального дорожного агентства"""
01.03.2013;5569643;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;111 305,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5569643;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 658080, Алтайский край, Новоалтайск г, Гагарина, 13, -;7-38532-25776;kanozakaz@mail.ru;Филякова Марина Евгеньевна;;;;комитет по образованию Администрации города Новоалтайска
01.03.2013;5569678;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;122 887,50р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5569678;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 658080, Алтайский край, Новоалтайск г, Гагарина, 13, -;7-38532-25776;kanozakaz@mail.ru;Филякова Марина Евгеньевна;;;;комитет по образованию Администрации города Новоалтайска
01.03.2013;5569734;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;127 176,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5569734;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 658080, Алтайский край, Новоалтайск г, Гагарина, 13, -;7-38532-25776;kanozakaz@mail.ru;Филякова Марина Евгеньевна;;;;комитет по образованию Администрации города Новоалтайска
01.03.2013;5569781;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;74 600,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5569781;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 658080, Алтайский край, Новоалтайск г, Гагарина, 13, -;7-38532-25776;kanozakaz@mail.ru;Филякова Марина Евгеньевна;;;;комитет по образованию Администрации города Новоалтайска
01.03.2013;5569823;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;306 900,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5569823;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 658080, Алтайский край, Новоалтайск г, Гагарина, 13, -;7-38532-25776;kanozakaz@mail.ru;Филякова Марина Евгеньевна;;;;комитет по образованию Администрации города Новоалтайска
01.03.2013;5569864;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;345 000,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5569864;Открытый аукцион в электронной форме;15.03.2013;11.03.2013;;Российская Федерация, 656025, Алтайский край, Барнаул г, проспект Ленина, 74, -;7-3852-397282;uoto_zakaz@mail.ru;Бенцлер Алексей Владимирович;;;;Главное управление Министерства внутренних дел Российской Федерации по Алтайскому краю
01.03.2013;5569875;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;213 450,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5569875;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 658080, Алтайский край, Новоалтайск г, Гагарина, 13, -;7-38532-25776;kanozakaz@mail.ru;Филякова Марина Евгеньевна;;;;комитет по образованию Администрации города Новоалтайска
01.03.2013;5570155;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;268 250,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5570155;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 658080, Алтайский край, Новоалтайск г, Гагарина, 13, -;7-38532-25776;kanozakaz@mail.ru;Филякова Марина Евгеньевна;;;;комитет по образованию Администрации города Новоалтайска
01.03.2013;5570240;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;1 700 000,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5570240;Открытый аукцион в электронной форме;18.03.2013;11.03.2013;;Российская Федерация, 656025, Алтайский край, Барнаул г, проспект Ленина, 74, -;7-3852-393998;uoto_zakaz@mail.ru;Куренков Сергей Иванович;;;;Главное управление Министерства внутренних дел Российской Федерации по Алтайскому краю
01.03.2013;5570243;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;1 465 000,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5570243;Открытый аукцион в электронной форме;11.03.2013;10.03.2013;;Российская Федерация, 656006, Алтайский край, Барнаул г, Взлётная, 2И, -;7-3852-540355;mchsumto@mail.ru;Матвеева Анна Ивановна;;;;Главное управление Министерства Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий по Алтайскому краю
01.03.2013;5570282;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;1 009 330,98р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5570282;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 656043, Алтайский край, Барнаул г, проспект Социалистический, 37, -;7-3852-632569;fgu220710@u22.rosreestr.ru;Зарезов Вадим Константинович;;;;"филиал федерального государственного бюджетного учреждения ""Федеральная кадастровая палата Федеральной службы государственной регистрации, кадастра и картографии"" по Алтайскому краю"
01.03.2013;5570492;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;2 393 390,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5570492;Открытый аукцион в электронной форме;18.03.2013;11.03.2013;;Российская Федерация, 656025, Алтайский край, Барнаул г, проспект Ленина, 74, -;7-3852-397368;uoto_zakaz@mail.ru;Шараухов Николай Николаевич;;;;Главное управление Министерства внутренних дел Российской Федерации по Алтайскому краю
01.03.2013;5570708;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;2 750 638,20р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5570708;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 656038, Алтайский край, Барнаул г, улица Путиловская, 26, -;7-3852-391655;feouvd22@mail.ru;Литвинов Николай Анатольевич;;;;Управление Министерства внутренних дел Российской Федерации по городу Барнаулу
01.03.2013;5572028;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;2 356 634,64р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5572028;Открытый аукцион в электронной форме;13.03.2013;11.03.2013;;Российская Федерация, 656000, Алтайский край, Барнаул г, Советская, 16, -;7-3852-628124;rosreestr22@gmail.com;Бокий Марина Петровна;;;;Управление Федеральной службы государственной регистрации, кадастра и картографии по Алтайскому краю
01.03.2013;5572392;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;1 016 465,07р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5572392;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 656015, Алтайский край, Барнаул г, пр-т Ленина, 59, -;7-3852-358838;korosteleva@alregn.ru;Коростелева Наталья Викторовна;;;;Главное управление экономики и инвестиций Алтайского края
01.03.2013;5572553;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;19 503 000,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5572553;Открытый аукцион в электронной форме;26.03.2013;22.03.2013;;Российская Федерация, 656015, Алтайский край, Барнаул г, пр-т Ленина, 59, -;7-3852-356907;cherdanceva@alregn.ru;Черданцева Татьяна Николаевна;;;;Главное управление экономики и инвестиций Алтайского края
01.03.2013;5572616;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;24 378 750,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5572616;Открытый аукцион в электронной форме;26.03.2013;22.03.2013;;Российская Федерация, 656015, Алтайский край, Барнаул г, пр-т Ленина, 59, -;7-3852-356907;cherdanceva@alregn.ru;Черданцева Татьяна Николаевна;;;;Главное управление экономики и инвестиций Алтайского края
01.03.2013;5572656;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;14 627 250,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5572656;Открытый аукцион в электронной форме;26.03.2013;22.03.2013;;Российская Федерация, 656015, Алтайский край, Барнаул г, пр-т Ленина, 59, -;7-3852-356907;cherdanceva@alregn.ru;Черданцева Татьяна Николаевна;;;;Главное управление экономики и инвестиций Алтайского края
01.03.2013;5572684;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;19 503 000,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5572684;Открытый аукцион в электронной форме;26.03.2013;22.03.2013;;Российская Федерация, 656015, Алтайский край, Барнаул г, пр-т Ленина, 59, -;7-3852-356907;cherdanceva@alregn.ru;Черданцева Татьяна Николаевна;;;;Главное управление экономики и инвестиций Алтайского края
01.03.2013;5573509;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;361 824,30р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5573509;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 656015, Алтайский край, Барнаул г, пр-т Ленина, 59, -;7-3852-356907;manoha@alregn.ru;Маноха Максим Петрович;;;;Главное управление экономики и инвестиций Алтайского края
01.03.2013;5573771;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;420 000,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5573771;Открытый аукцион в электронной форме;18.03.2013;11.03.2013;;Российская Федерация, 656015, Алтайский край, Барнаул г, пр-т Ленина, 59, -;7-3852-356851;hromenkov@alregn.ru;Хроменков Дмитрий Игоревич;;;;Главное управление экономики и инвестиций Алтайского края
01.03.2013;5573807;Наименование заказчика доступно только в зарегистрированной версии.;Наименование заказа доступно только в зарегистрированной версии.;630 000,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5573807;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 658080, Алтайский край, Новоалтайск г, Парковая, 1А, -;7-38532-21348;mzakaz@novoaltaysk.ru;Прокопенко Анастасия Александровна;;;;Администрация города Новоалтайска Алтайского края
